seedID,transect,cluster,survey.number,anthro.rank,regeneration,sampling.effort,category,species,scientific.name,origin,dispersal.mode,form,length.avg,width.avg,lxw
3,a,a400,1,2,mature,11,dispersed.seed,kafeala.vavy,Coffea sp.1,native,lemur,loose,10.3,4.3,44.1
8,a,a500,1,2,mature,11,dispersed.seed,tsita.liana,,native,,loose,,,0.0
9,a,a800,1,2,mature,11,dispersed.seed,rotra,Syzigium sp.,native,lemur,loose,9.3,7.8,72.4
10,a,a800,1,2,mature,11,dispersed.seed,rotra,Syzigium sp.,native,lemur,loose,9.3,7.8,72.4
4,a,a500,4,2,mature,11,dispersed.seed,menavahatra,Abrahamia thouvenotii,native,lemur,loose,8.8,4.8,42.1
5,a,a500,4,2,mature,11,dispersed.seed,menavahatra,Abrahamia thouvenotii,native,lemur,loose,8.8,4.8,42.1
6,a,a500,4,2,mature,11,dispersed.seed,menavahatra,Abrahamia thouvenotii,native,lemur,loose,8.8,4.8,42.1
7,a,a500,4,2,mature,11,dispersed.seed,menavahatra,Abrahamia thouvenotii,native,lemur,loose,8.8,4.8,42.1
1,a,a100,7,2,mature,11,dispersed.seed,dongavelona,Bakerella spp.,native,bird.lemur,loose,5.1,2.2,11.1
13,b,b0,1,1,mature,11,dispersed.seed,kafeala.lahy,Coffea sp.2,native,bird.lemur,loose,10.3,4.3,44.1
14,b,b300,3,1,mature,11,dispersed.seed,harongana.panihy,Psorospermum trichophyllum,native,bird,loose,3.1,2.8,8.7
15,c,c100,1,6,regenerating,4,dispersed.seed,radoka,Maesa lanceolata,native,bird.lemur,loose,1.0,1.0,1.0
16,c,c100,1,6,regenerating,4,dispersed.seed,radoka,Maesa lanceolata,native,bird.lemur,loose,1.0,1.0,1.0
38,c,c300,1,6,regenerating,4,dispersed.seed,mahabanky,Ischaemum rugosum,nonnative,wind,loose,3.0,1.0,3.0
39,c,c300,1,6,regenerating,4,dispersed.seed,mahabanky,Ischaemum rugosum,nonnative,wind,loose,3.0,1.0,3.0
40,c,c300,1,6,regenerating,4,dispersed.seed,mahabanky,Ischaemum rugosum,nonnative,wind,loose,3.0,1.0,3.0
41,c,c300,1,6,regenerating,4,dispersed.seed,mahabanky,Ischaemum rugosum,nonnative,wind,loose,3.0,1.0,3.0
42,c,c300,1,6,regenerating,4,dispersed.seed,mahabanky,Ischaemum rugosum,nonnative,wind,loose,3.0,1.0,3.0
43,c,c300,1,6,regenerating,4,dispersed.seed,mahabanky,Ischaemum rugosum,nonnative,wind,loose,3.0,1.0,3.0
44,c,c300,2,6,regenerating,4,dispersed.seed,radoka,Maesa lanceolata,native,bird.lemur,loose,1.0,1.0,1.0
45,c,c300,2,6,regenerating,4,dispersed.seed,radoka,Maesa lanceolata,native,bird.lemur,loose,1.0,1.0,1.0
46,c,c300,2,6,regenerating,4,dispersed.seed,radoka,Maesa lanceolata,native,bird.lemur,loose,1.0,1.0,1.0
47,c,c300,2,6,regenerating,4,dispersed.seed,radoka,Maesa lanceolata,native,bird.lemur,loose,1.0,1.0,1.0
48,c,c300,2,6,regenerating,4,dispersed.seed,radoka,Maesa lanceolata,native,bird.lemur,loose,1.0,1.0,1.0
