Transect,Survey.week,Anthro.Rank,Regeneration,Sampling.effort,Indiv_overhang_total,Indiv_overhang_native,Indiv_overhang_nonnative,Proportion_indiv_nonnative_total,Species_overhang_total,Species_overhang_native,Species_overhang_nonnative,Proportion_species_nonnative_total,Indiv_flower_total,Indiv_flower_native,Indiv_flower_nonnative,Proportion_indiv_flower_total,Proportion_indiv_flower_native,Proportion_indiv_flower_nonnative,Species_flower_total,Species_flower_native,Species_flower_nonnative,Proportion_species_flower_total,Proportion_species_flower_native,Proportion_species_flower_nonnative,Indiv_all_fruit_total,Indiv_low_fruit_total,Indiv_high_fruit_total,Indiv_all_fruit_native,Indiv_low_fruit_native,Indiv_high_fruit_native,Indiv_all_fruit_nonnative,Indiv_low_fruit_nonnative,Indiv_high_fruit_nonnative,Proportion_indiv_all_fruit_total,Proportion_indiv_all_fruit_native,Proportion_indiv_all_fruit_nonnative,Proportion_indiv_low_fruit_total,Proportion_indiv_low_fruit_native,Proportion_indiv_low_fruit_nonnative,Proportion_indiv_high_fruit_total,Proportion_indiv_high_fruit_native,Proportion_indiv_high_fruit_nonnative,Species_all_fruit_total,Species_all_fruit_native,Species_all_fruit_nonnative,Proportion_species_all_fruit_total,Proportion_species_all_fruit_native,Proportion_Species_all_fruit_nonnative
A,1,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,10,10,0,0.042194093,0.042194093,0,7,7,0,0.076086957,0.076086957,0,25,18,7,25,18,7,0,0,0,0.105485232,0.105485232,0,0.075949367,0.075949367,0,0.029535865,0.029535865,0,19,19,0,0.206521739,0.206521739,0
A,2,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,8,8,0,0.033755274,0.033755274,0,6,6,0,0.065217391,0.065217391,0,18,10,8,18,10,8,0,0,0,0.075949367,0.075949367,0,0.042194093,0.042194093,0,0.033755274,0.033755274,0,16,16,0,0.173913043,0.173913043,0
A,3,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,9,9,0,0.037974684,0.037974684,0,6,6,0,0.065217391,0.065217391,0,17,9,8,17,9,8,0,0,0,0.071729958,0.071729958,0,0.037974684,0.037974684,0,0.033755274,0.033755274,0,14,14,0,0.152173913,0.152173913,0
A,4,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,9,9,0,0.037974684,0.037974684,0,8,8,0,0.086956522,0.086956522,0,20,12,8,20,12,8,0,0,0,0.084388186,0.084388186,0,0.050632911,0.050632911,0,0.033755274,0.033755274,0,16,16,0,0.173913043,0.173913043,0
A,5,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,12,12,0,0.050632911,0.050632911,0,7,7,0,0.076086957,0.076086957,0,22,16,6,22,16,6,0,0,0,0.092827004,0.092827004,0,0.067510549,0.067510549,0,0.025316456,0.025316456,0,18,18,0,0.195652174,0.195652174,0
A,6,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,10,10,0,0.042194093,0.042194093,0,6,6,0,0.065217391,0.065217391,0,21,18,3,21,18,3,0,0,0,0.088607595,0.088607595,0,0.075949367,0.075949367,0,0.012658228,0.012658228,0,17,17,0,0.184782609,0.184782609,0
A,7,2,intact,11,237,236,1,0.004219409,92,91,1,0.010869565,13,13,0,0.054852321,0.054852321,0,8,8,0,0.086956522,0.086956522,0,18,18,0,18,18,0,0,0,0,0.075949367,0.075949367,0,0.075949367,0.075949367,0,0,0,0,14,14,0,0.152173913,0.152173913,0
B,1,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,13,12,1,0.057777778,0.053333333,0.004444444,9,8,1,0.108433735,0.096385542,0.012048193,23,15,8,22,15,7,1,0,1,0.102222222,0.097777778,0.004444444,0.066666667,0.066666667,0,0.035555556,0.031111111,0.004444444,16,15,1,0.192771084,0.180722892,0.012048193
B,2,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,11,10,1,0.048888889,0.044444444,0.004444444,10,9,1,0.120481928,0.108433735,0.012048193,24,17,7,23,17,6,1,0,1,0.106666667,0.102222222,0.004444444,0.075555556,0.075555556,0,0.031111111,0.026666667,0.004444444,17,16,1,0.204819277,0.192771084,0.012048193
B,3,1,intact,11,225,224,1,0.004444444,83,82,1,0.012048193,8,7,1,0.035555556,0.031111111,0.004444444,8,7,1,0.096385542,0.084337349,0.012048193,14,11,3,13,11,2,1,0,1,0.062222222,0.057777778,0.004444444,0.048888889,0.048888889,0,0.013333333,0.008888889,0.004444444,12,11,1,0.144578313,0.13253012,0.012048193
