transect,order.transect,transect.length,regeneration,survey.ID,period,functional.group,diet,activity,body.size,func.encounter.rate,activity.encounter,diet.encounter,size.encounter.rate
B,MATURE1,1000,Intact,1,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0.004,0,0.004
A,MATURE2,1000,Intact,2,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0.002,0,0.002
E,REGEN1,375,Regenerating,3,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,4,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0.00375,0.00375,0.00375,0.00375
C,REGEN3,325,Regenerating,5,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,6,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
D,REGEN2,350,Regenerating,7,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,8,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,9,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,10,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,11,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,12,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,13,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
E,REGEN1,375,Regenerating,14,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,15,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,16,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,17,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,18,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0.001,0.005,0.001,0.005
E,REGEN1,375,Regenerating,19,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,20,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0.01,0,0.01
B,MATURE1,1000,Intact,21,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0.006
F,MATURE3,800,Intact,22,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0.00375
A,MATURE2,1000,Intact,23,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0.006
C,REGEN3,325,Regenerating,24,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
D,REGEN2,350,Regenerating,25,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,26,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,27,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,28,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0.00875,0,0.00875
C,REGEN3,325,Regenerating,29,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,30,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,31,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,32,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
F,MATURE3,800,Intact,33,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0.00875
B,MATURE1,1000,Intact,34,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
C,REGEN3,325,Regenerating,35,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,36,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0.008,0,0.008
D,REGEN2,350,Regenerating,37,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,38,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
F,MATURE3,800,Intact,39,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0.00625
A,MATURE2,1000,Intact,40,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0.013
D,REGEN2,350,Regenerating,41,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,42,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,43,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
A,MATURE2,1000,Intact,44,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0.001,0,0.001
B,MATURE1,1000,Intact,45,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,46,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0.005333333,0.005333333,0.005333333,0.005333333
B,MATURE1,1000,Intact,47,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
E,REGEN1,375,Regenerating,48,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,49,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,50,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,51,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0.007
E,REGEN1,375,Regenerating,52,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,53,Day,diurnal.frugivore.rate,frugivore,diurnal,large,0,0.005,0,0.005
D,REGEN2,350,Regenerating,54,Night,diurnal.frugivore.rate,frugivore,diurnal,large,,0,0,0
B,MATURE1,1000,Intact,1,Day,diurnal.folivore,folivore,diurnal,large,0.004,0.004,0.004,0.004
A,MATURE2,1000,Intact,2,Day,diurnal.folivore,folivore,diurnal,large,0.002,0.002,0.002,0.002
E,REGEN1,375,Regenerating,3,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,4,Day,diurnal.folivore,folivore,diurnal,large,0,0.00375,0,0.00375
C,REGEN3,325,Regenerating,5,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,6,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
D,REGEN2,350,Regenerating,7,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,8,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,9,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,10,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,11,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,12,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,13,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
E,REGEN1,375,Regenerating,14,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,15,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,16,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,17,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,18,Day,diurnal.folivore,folivore,diurnal,large,0.004,0.005,0.004,0.005
E,REGEN1,375,Regenerating,19,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,20,Day,diurnal.folivore,folivore,diurnal,large,0.01,0.01,0.01,0.01
B,MATURE1,1000,Intact,21,Night,diurnal.folivore,folivore,diurnal,large,,0,0.006,0.006
F,MATURE3,800,Intact,22,Night,diurnal.folivore,folivore,diurnal,large,,0,0.00375,0.00375
A,MATURE2,1000,Intact,23,Night,diurnal.folivore,folivore,diurnal,large,,0,0.006,0.006
C,REGEN3,325,Regenerating,24,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
D,REGEN2,350,Regenerating,25,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,26,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,27,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,28,Day,diurnal.folivore,folivore,diurnal,large,0.00875,0.00875,0.00875,0.00875
C,REGEN3,325,Regenerating,29,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,30,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,31,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
D,REGEN2,350,Regenerating,32,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
F,MATURE3,800,Intact,33,Night,diurnal.folivore,folivore,diurnal,large,,0,0.00875,0.00875
B,MATURE1,1000,Intact,34,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
C,REGEN3,325,Regenerating,35,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,36,Day,diurnal.folivore,folivore,diurnal,large,0.008,0.008,0.008,0.008
D,REGEN2,350,Regenerating,37,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,38,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
F,MATURE3,800,Intact,39,Night,diurnal.folivore,folivore,diurnal,large,,0,0.00625,0.00625
A,MATURE2,1000,Intact,40,Night,diurnal.folivore,folivore,diurnal,large,,0,0.013,0.013
D,REGEN2,350,Regenerating,41,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
C,REGEN3,325,Regenerating,42,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,43,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
A,MATURE2,1000,Intact,44,Day,diurnal.folivore,folivore,diurnal,large,0.001,0.001,0.001,0.001
B,MATURE1,1000,Intact,45,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
E,REGEN1,375,Regenerating,46,Day,diurnal.folivore,folivore,diurnal,large,0,0.005333333,0,0.005333333
B,MATURE1,1000,Intact,47,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
E,REGEN1,375,Regenerating,48,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,49,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
B,MATURE1,1000,Intact,50,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
A,MATURE2,1000,Intact,51,Night,diurnal.folivore,folivore,diurnal,large,,0,0.007,0.007
E,REGEN1,375,Regenerating,52,Day,diurnal.folivore,folivore,diurnal,large,0,0,0,0
F,MATURE3,800,Intact,53,Day,diurnal.folivore,folivore,diurnal,large,0.005,0.005,0.005,0.005
D,REGEN2,350,Regenerating,54,Night,diurnal.folivore,folivore,diurnal,large,,0,0,0
B,MATURE1,1000,Intact,1,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0.004,0.004
A,MATURE2,1000,Intact,2,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0.002,0.002
E,REGEN1,375,Regenerating,3,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
F,MATURE3,800,Intact,4,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0.00375
C,REGEN3,325,Regenerating,5,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
C,REGEN3,325,Regenerating,6,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
D,REGEN2,350,Regenerating,7,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
A,MATURE2,1000,Intact,8,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
B,MATURE1,1000,Intact,9,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
F,MATURE3,800,Intact,10,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
E,REGEN1,375,Regenerating,11,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
C,REGEN3,325,Regenerating,12,Night,nocturnal.folivore,folivore,nocturnal,large,0,0.006153846,0,0
D,REGEN2,350,Regenerating,13,Night,nocturnal.folivore,folivore,nocturnal,large,0,0.017142857,0,0
E,REGEN1,375,Regenerating,14,Night,nocturnal.folivore,folivore,nocturnal,large,0,0.021333333,0,0
D,REGEN2,350,Regenerating,15,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
C,REGEN3,325,Regenerating,16,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
B,MATURE1,1000,Intact,17,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
A,MATURE2,1000,Intact,18,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0.004,0.005
E,REGEN1,375,Regenerating,19,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
F,MATURE3,800,Intact,20,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0.01,0.01
B,MATURE1,1000,Intact,21,Night,nocturnal.folivore,folivore,nocturnal,large,0.006,0.006,0.006,0.006
F,MATURE3,800,Intact,22,Night,nocturnal.folivore,folivore,nocturnal,large,0.00375,0.00625,0.00375,0.00375
A,MATURE2,1000,Intact,23,Night,nocturnal.folivore,folivore,nocturnal,large,0.006,0.006,0.006,0.006
C,REGEN3,325,Regenerating,24,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
D,REGEN2,350,Regenerating,25,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
A,MATURE2,1000,Intact,26,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
B,MATURE1,1000,Intact,27,Day,nocturnal.folivore,folivore,nocturnal,large,,0,0,0
