"","transect","transect.length","habitat","regeneration","distrubance.rank","survey.ID","period","Eulemur.count","Hapalemur.count","Varecia.count","Propithecus.count","Indri.count","Lepilemur.count","Avahi.count","Microcebus.count","functional.group","encounter.rate"
"1","B",1000,"Protected","Intact","1",1,"Morning",0,0,0,4,0,0,0,0,"diurnal.frugivore",0
"2","A",1000,"Protected","Intact","2",2,"Afternoon",0,0,0,0,2,0,0,0,"diurnal.frugivore",0
"3","E",375,"Restoration","Regenerating","4",3,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"4","F",800,"Protected","Intact","3",4,"Afternoon",0,0,3,0,0,0,0,0,"diurnal.frugivore",0.00375
"5","C",325,"Savoka","Regenerating","6",5,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"6","C",325,"Savoka","Regenerating","6",6,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"7","D",350,"Restoration","Regenerating","5",7,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"8","A",1000,"Protected","Intact","2",8,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"9","B",1000,"Protected","Intact","1",9,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"10","F",800,"Protected","Intact","3",10,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"11","E",375,"Restoration","Regenerating","4",11,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"12","C",325,"Savoka","Regenerating","6",12,"Nocturnal",0,0,0,0,0,0,0,2,"diurnal.frugivore",0
"13","D",350,"Restoration","Regenerating","5",13,"Nocturnal",0,0,0,0,0,0,0,6,"diurnal.frugivore",0
"14","E",375,"Restoration","Regenerating","4",14,"Nocturnal",0,0,0,0,0,0,0,8,"diurnal.frugivore",0
"15","D",350,"Restoration","Regenerating","5",15,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"16","C",325,"Savoka","Regenerating","6",16,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"17","B",1000,"Protected","Intact","1",17,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"18","A",1000,"Protected","Intact","2",18,"Afternoon",0,0,1,1,3,0,0,0,"diurnal.frugivore",0.001
"19","E",375,"Restoration","Regenerating","4",19,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"20","F",800,"Protected","Intact","3",20,"Afternoon",0,3,0,5,0,0,0,0,"diurnal.frugivore",0
"21","B",1000,"Protected","Intact","1",21,"Nocturnal",0,0,0,0,0,2,4,0,"diurnal.frugivore",0
"22","F",800,"Protected","Intact","3",22,"Nocturnal",0,0,0,0,0,1,2,2,"diurnal.frugivore",0
"23","A",1000,"Protected","Intact","2",23,"Nocturnal",0,0,0,0,0,6,0,0,"diurnal.frugivore",0
"24","C",325,"Savoka","Regenerating","6",24,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"25","D",350,"Restoration","Regenerating","5",25,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"26","A",1000,"Protected","Intact","2",26,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"27","B",1000,"Protected","Intact","1",27,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"28","F",800,"Protected","Intact","3",28,"Morning",0,7,0,0,0,0,0,0,"diurnal.frugivore",0
"29","C",325,"Savoka","Regenerating","6",29,"Nocturnal",0,0,0,0,0,0,0,6,"diurnal.frugivore",0
"30","D",350,"Restoration","Regenerating","5",30,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"31","C",325,"Savoka","Regenerating","6",31,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.frugivore",0
"32","D",350,"Restoration","Regenerating","5",32,"Nocturnal",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"33","F",800,"Protected","Intact","3",33,"Nocturnal",0,0,0,0,0,3,4,0,"diurnal.frugivore",0
"34","B",1000,"Protected","Intact","1",34,"Nocturnal",0,0,0,0,0,0,0,1,"diurnal.frugivore",0
"35","C",325,"Savoka","Regenerating","6",35,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"36","A",1000,"Protected","Intact","2",36,"Afternoon",0,0,0,5,3,0,0,0,"diurnal.frugivore",0
"37","D",350,"Restoration","Regenerating","5",37,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"38","E",375,"Restoration","Regenerating","4",38,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.frugivore",0
"39","F",800,"Protected","Intact","3",39,"Nocturnal",0,0,0,0,0,1,4,1,"diurnal.frugivore",0
"40","A",1000,"Protected","Intact","2",40,"Nocturnal",0,0,0,0,0,7,6,1,"diurnal.frugivore",0
"41","D",350,"Restoration","Regenerating","5",41,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"42","C",325,"Savoka","Regenerating","6",42,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"43","E",375,"Restoration","Regenerating","4",43,"Nocturnal",0,0,0,0,0,0,0,3,"diurnal.frugivore",0
"44","A",1000,"Protected","Intact","2",44,"Morning",0,0,0,0,1,0,0,0,"diurnal.frugivore",0
"45","B",1000,"Protected","Intact","1",45,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"46","E",375,"Restoration","Regenerating","4",46,"Afternoon",2,0,0,0,0,0,0,0,"diurnal.frugivore",0.005333333
"47","B",1000,"Protected","Intact","1",47,"Nocturnal",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"48","E",375,"Restoration","Regenerating","4",48,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"49","F",800,"Protected","Intact","3",49,"Afternoon",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
"50","B",1000,"Protected","Intact","1",50,"Morning",0,0,0,0,0,0,0,0,"diurnal.frugivore",0
